,Kingdom,Phylum,Class,Order,Family,Genus,Species
denovo1512,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,NA,NA,NA,NA
denovo1517,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
denovo1525,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Telmatospirillum,s__
denovo1526,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Frankiaceae,g__,s__
denovo1529,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
denovo1536,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
denovo1539,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__
denovo1549,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo1553,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,NA
denovo1574,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
denovo1578,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Rhabdochlamydiaceae,g__Candidatus Rhabdochlamydia,s__
denovo1586,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Sporocytophaga,s__
denovo1594,k__Bacteria,p__Armatimonadetes,c__Armatimonadia,o__FW68,f__,g__,s__
denovo1597,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__
denovo1606,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,s__
denovo1622,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
denovo1626,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__
denovo1629,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
denovo1632,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
denovo1633,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo1653,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus Koribacter,s__
denovo1655,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo1656,k__Bacteria,p__Gemmatimonadetes,c__Gemm-1,o__,f__,g__,s__
